body parts/bavaria/a3/body.png 36 47 head:31,-8 hipL:12,30 hipR:12,30 shL:21,16 shR:21,16
head parts/bavaria/a3/head.png 44 46 neck:22,22
thighL parts/bavaria/a3/thighL.png 21 26 start:6,6 end:16,22
shinL parts/bavaria/a3/shinL.png 16 23 start:10,5 end:8,23
footL parts/bavaria/a3/footL.png 28 10 start:7,3 end:26,9
thighR parts/bavaria/a3/thighR.png 21 27 start:6,7 end:17,24
shinR parts/bavaria/a3/shinR.png 16 24 start:10,6 end:8,23
footR parts/bavaria/a3/footR.png 28 10 start:7,4 end:26,9
uarmL parts/bavaria/a3/uarmL.png 19 18 start:5,5 end:15,13
farmL parts/bavaria/a3/farmL.png 30 15 start:3,3 end:21,8
uarmR parts/bavaria/a3/uarmR.png 19 16 start:5,4 end:15,12
farmR parts/bavaria/a3/farmR.png 30 16 start:2,4 end:21,8
