body parts/daffodil/a1/body.png 48 26 head:43,1 hipL:9,11 hipR:9,11 shL:23,9 shR:23,9
head parts/daffodil/a1/head.png 50 43 neck:22,23
thighL parts/daffodil/a1/thighL.png 18 22 start:12,5 end:3,19
shinL parts/daffodil/a1/shinL.png 20 14 start:15,6 end:0,7
footL parts/daffodil/a1/footL.png 18 17 start:6,4 end:16,16
thighR parts/daffodil/a1/thighR.png 18 22 start:12,5 end:3,19
shinR parts/daffodil/a1/shinR.png 20 15 start:15,7 end:0,8
footR parts/daffodil/a1/footR.png 18 17 start:6,4 end:16,16
uarmL parts/daffodil/a1/uarmL.png 15 16 start:10,4 end:3,12
farmL parts/daffodil/a1/farmL.png 13 25 start:9,2 end:5,17
uarmR parts/daffodil/a1/uarmR.png 14 16 start:10,4 end:4,13
farmR parts/daffodil/a1/farmR.png 12 25 start:9,2 end:5,18
