body parts/body.png 23 40 head:5,-3 hipL:0,13 hipR:10,13 shL:0,7 shR:9,7
head parts/head.png 49 46 neck:24,45
thighL parts/thighL.png 12 22 start:2,2 end:4,11
shinL parts/shinL.png 15 16 start:4,0 end:3,7
footL parts/footL.png 18 7 start:3,1 end:2,3
thighR parts/thighR.png 12 22 start:2,1 end:0,9
shinR parts/shinR.png 13 18 start:2,0 end:4,7
footR parts/footR.png 18 7 start:4,1 end:5,3
uarmL parts/uarmL.png 11 15 start:2,2 end:-2,7
farmL parts/farmL.png 12 23 start:2,-1 end:1,7
uarmR parts/uarmR.png 12 16 start:1,2 end:5,7
farmR parts/farmR.png 12 22 start:3,-2 end:3,5
