body parts/a0/body.png 17 30 head:7,-1 hipL:1,21 hipR:14,21 shL:1,13 shR:14,13
head parts/a0/head.png 38 36 neck:19,35
thighL parts/a0/thighL.png 9 17 start:1,3 end:4,13
shinL parts/a0/shinL.png 11 12 start:5,0 end:4,9
footL parts/a0/footL.png 13 5 start:5,1 end:4,3
thighR parts/a0/thighR.png 9 17 start:5,3 end:2,13
shinR parts/a0/shinR.png 10 13 start:3,0 end:4,9
footR parts/a0/footR.png 13 5 start:5,1 end:7,3
uarmL parts/a0/uarmL.png 8 11 start:5,1 end:-1,9
farmL parts/a0/farmL.png 10 17 start:4,0 end:3,11
uarmR parts/a0/uarmR.png 9 12 start:2,1 end:6,9
farmR parts/a0/farmR.png 9 17 start:4,1 end:4,11
